Model,Scenario,Category,F1,MCC,FNR,FPR,F1_drop
Decision Tree,Light +20Lux,Single shift,0.8681626928471248,0.764910075964301,0.12693935119887165,0.10722100656455143,0.1290164326817892
Random Forest,Light +20Lux,Single shift,0.7683755404570722,0.561845062231615,0.1227080394922426,0.3150984682713348,0.2280908906383341
Extra Trees,Light +20Lux,Single shift,0.8120497707924034,0.6525931151256569,0.12552891396332863,0.21663019693654267,0.18583308030145695
AdaBoost,Light +20Lux,Single shift,0.8759571209800919,0.8016885666903191,0.19322990126939352,0.02735229759299781,0.1148814977655036
Gradient Boosting,Light +20Lux,Single shift,0.7386722866174921,0.5096599979566986,0.011283497884344146,0.5339168490153173,0.25638769926818195
XGBoost,Light +20Lux,Single shift,0.7945823927765236,0.6261941400581158,0.007052186177715092,0.3927789934354486,0.20330045831733667
LightGBM,Light +20Lux,Single shift,0.8182476466328747,0.684575161766422,0.20310296191819463,0.11706783369803063,0.17822874519235432
CatBoost,Light +20Lux,Single shift,0.7892074198988196,0.6148235000517641,0.009873060648801129,0.4026258205689278,0.20867543119504073
KNN,Light +20Lux,Single shift,0.9502018842530283,0.9115592714522862,0.004231311706629055,0.07768052516411379,0.04485111928054064
GaussianNB,Light +20Lux,Single shift,0.7112676056338029,0.450687130692011,0.0028208744710860366,0.6258205689277899,0.009135417036222337
SVM,Light +20Lux,Single shift,0.7935086737548964,0.6262372407366311,0.0,0.4037199124726477,0.19670111645489374
MLP,Light +20Lux,Single shift,0.6978807294233612,0.4187847447640095,0.0014104372355430183,0.6695842450765864,0.29574984382504643
Logistic Regression,Light -20Lux,Single shift,0.236318407960199,0.28310667281990587,0.8660084626234132,0.0,0.6645581935232805
Ridge Classifier,Light -20Lux,Single shift,0.7148175725986597,0.5169651174798834,0.3229901269393512,0.16849015317286653,0.10474620796974743
SGD Classifier,Light -20Lux,Single shift,0.236318407960199,0.28310667281990587,0.8660084626234132,0.0,0.6650329433911524
Decision Tree,Light -20Lux,Single shift,0.4605263157894737,0.27021180787538546,0.6544428772919605,0.12035010940919037,0.5366528097394403
Random Forest,Light -20Lux,Single shift,0.6153846153846154,0.5044660530629318,0.5317348377997179,0.04157549234135667,0.3810818157107909
Extra Trees,Light -20Lux,Single shift,0.6193548387096774,0.5056874356498052,0.5260930888575458,0.0437636761487965,0.3785280123841829
AdaBoost,Light -20Lux,Single shift,0.45652173913043476,0.4352146486568244,0.7038081805359662,0.0010940919037199124,0.5343168796151607
Gradient Boosting,Light -20Lux,Single shift,0.494949494949495,0.40135545329582545,0.6544428772919605,0.03938730853391685,0.5001104909361791
XGBoost,Light -20Lux,Single shift,0.5343811394891945,0.4335236787484652,0.616361071932299,0.04048140043763676,0.4635017116046658
LightGBM,Light -20Lux,Single shift,0.4605263157894737,0.27021180787538546,0.6544428772919605,0.12035010940919037,0.5359500760357554
CatBoost,Light -20Lux,Single shift,0.6159554730983302,0.5062424500156806,0.5317348377997179,0.04048140043763676,0.3819273779955301
KNN,Light -20Lux,Single shift,0.8873239436619719,0.8290231490141304,0.2002820874471086,0.002188183807439825,0.10772905987159709
GaussianNB,Light -20Lux,Single shift,0.7541333333333333,0.5458660592596146,0.0028208744710860366,0.5021881838074398,-0.033730310663308116
SVM,Light -20Lux,Single shift,0.6482364156339371,0.5844886882975054,0.5204513399153737,0.0,0.3419733745758531
MLP,Light -20Lux,Single shift,0.3904653802497162,0.3909133457918234,0.7574047954866009,0.0,0.6031651929986914
Logistic Regression,Gaussian noise x0.5,Noise level,0.7312851807053055,0.5292029732793548,0.28039492242595204,0.1927789934354486,0.16959142077817402
Ridge Classifier,Gaussian noise x0.5,Noise level,0.730600008664555,0.517172408998406,0.26008462623413264,0.22144420131291032,0.08896377190385218
SGD Classifier,Gaussian noise x0.5,Noise level,0.7324633101794603,0.5343829774040822,0.2849083215796897,0.18424507658643327,0.16888804117189105
Decision Tree,Gaussian noise x0.5,Noise level,0.7048416060315229,0.5700322475620971,0.4090267983074753,0.06652078774617068,0.29233751949739106
